| id  | category_id | subcategory_id | shop_name                        | mobile       | address                                                                                                                                            | status | created_at          |
| 196 |           1 |              1 | Swajan Telecom Center            | 01713364779  | Kalichascho, Sorail, Bbaria                                                                                                                        |      1 | 2025-11-07 13:41:25 |
| 195 |           1 |              1 | Gungun Telecom                   | 01713364779  | 140/2 Hafez Mansion, Kalibari More,Brahmanbaria.                                                                                                   |      1 | 2025-11-07 13:41:25 |
| 194 |           1 |              1 | Siam Telecom                     | 01713364779  | Masjit Road, Sadar, B.Baria                                                                                                                        |      1 | 2025-11-07 13:41:25 |
| 193 |           1 |              1 | Hanif Visual                     | 01713364779  | B.Baria Tower 3Rd Floor, Sadar, B.Baria                                                                                                            |      1 | 2025-11-07 13:41:25 |
| 192 |           1 |              1 | Classic Telecom                  | 01713364779  | Akhaura Lal Bazar, Akhaura, B.Baria                                                                                                                |      1 | 2025-11-07 13:41:25 |
| 191 |           1 |              1 | Shama Telecom                    | 01335129860  | Samsung Store, 18-19 Girii Banijjo Vabhan, (1St Floor), Chowhatta, Kotowali, Sylhet                                                                |      1 | 2025-11-07 13:41:25 |
| 190 |           1 |              1 | Progoti Telecom 2                | 01335129860  | 1St Floor, Karim-Ullah Market, Bandar Bazar, Kotowali, Sylhet                                                                                      |      1 | 2025-11-07 13:41:25 |
| 189 |           1 |              1 | One tel                          | 01335129860  | Karim-Ullah Market, Bandar Bazar, Kotowali, Sylhet                                                                                                 |      1 | 2025-11-07 13:41:25 |
| 188 |           1 |              1 | Maha Mobile                      | 01335129860  | 148 Manru Shopping City, Kotowali Chowhatta, Sylhet                                                                                                |      1 | 2025-11-07 13:41:25 |
| 187 |           1 |              1 | Khadiza Telecom                  | 01335129860  | 5, Karimullah Market, 2Nd Floor, Bandar Bazar, Kotowali Sylhet                                                                                     |      1 | 2025-11-07 13:41:25 |
| 186 |           1 |              1 | Jomjom Smart Phone Gallary       | 01335129860  | 1St Floor Mojlish Tower, Kotowali, Bandar Bazar Sylhet                                                                                             |      1 | 2025-11-07 13:41:25 |
| 185 |           1 |              1 | Fatema Telecom Karimullah Market | 01335129860  | 63-64, Karimullah Market Kotowali, (1St Floor) Bandar Bazar, Sylhet                                                                                |      1 | 2025-11-07 13:41:25 |
| 184 |           1 |              1 | Cell Point                       | 01335129860  | Shop No-1, Ground Floor, Galleria Shopping And Apartment Complex, Jallarpar Road, West Zindabazar, Kotowali, Sylhet 3100                           |      1 | 2025-11-07 13:41:25 |
| 183 |           1 |              1 | Arif Mobile Shop                 | 01335129860  | 4, 1St Floor Karimullah Market, Kotowali, Sylhet                                                                                                   |      1 | 2025-11-07 13:41:25 |
| 182 |           1 |              1 | First Choice Telecom-2           | 01335129860  | Shop No: 64-65 (First Floor) ; Al Amin Super Market, College Road, College Road, Beanibazar, Sylhet                                                |      1 | 2025-11-07 13:41:25 |
| 181 |           1 |              1 | SM Telecom                       | 01335129860  | Cng Stand, Amberkhana, Sylhet                                                                                                                      |      1 | 2025-11-07 13:41:25 |
| 180 |           1 |              1 | Hello Dot Com                    | 01713364777  | Shop No:4-5, Purobi Complex, Victoria Road, Tangail Sadar, Tangail                                                                                 |      1 | 2025-11-07 13:41:25 |
| 179 |           1 |              1 | Emad Enterprise                  | 01713364777  | Rt Complex Victoria Road, Tangail Sadar, Tangail.                                                                                                  |      1 | 2025-11-07 13:41:25 |
| 178 |           1 |              1 | Mobile Mart                      | 01713364777  | Shikder Shopping Complex, Taltola Chattor, Sakhipur, Tangail                                                                                       |      1 | 2025-11-07 13:41:25 |
| 177 |           1 |              1 | Gorai Mobile Collection          | 01713364777  | Sakhipur Road, Gorai, Mirzapur, Tangail                                                                                                            |      1 | 2025-11-07 13:41:25 |
| 176 |           1 |              1 | S B Electronics                  | 01713364777  | Nurjahan Plaza, Elenga Bustand, Elenga, Kalihati, Tangail                                                                                          |      1 | 2025-11-07 13:41:25 |
| 175 |           1 |              1 | Ma Telecom 2                     | 01713364777  | Dhonbari Bus Stand, Dhonbari, Tangail                                                                                                              |      1 | 2025-11-07 13:41:25 |
